equipment_name
Defibrillator
Infusion Pump
Dialysis Machine
Surgical Light
X-Ray Machine
Dialysis Machine
ECG Monitor
Infusion Pump
Ventilator
Anesthesia Machine
Patient Monitor
Surgical Light
Anesthesia Machine
CT Scanner
X-Ray Machine
ECG Monitor
Defibrillator
Ultrasound
Infusion Pump
Surgical Light
Ultrasound
Patient Monitor
MRI Scanner
Surgical Light
X-Ray Machine
Ultrasound
Anesthesia Machine
Ultrasound
CT Scanner
Patient Monitor
Patient Monitor_1
Ventilator
Ventilator_1
Infusion Pump
Patient Monitor
Ultrasound
Dialysis Machine
Ultrasound
Anesthesia Machine
Anesthesia Machine
ECG Monitor
CT Scanner
Ventilator
Patient Monitor
Surgical Light
ECG Monitor
Patient Monitor
Dialysis Machine
Defibrillator
Defibrillator_1
Ultrasound
CT Scanner
ECG Monitor
ECG Monitor_1
CT Scanner
Surgical Light
X-Ray Machine
Infusion Pump
Dialysis Machine
CT Scanner
ECG Monitor
Infusion Pump
Ultrasound
MRI Scanner
X-Ray Machine
Dialysis Machine
Infusion Pump
Defibrillator
X-Ray Machine
MRI Scanner
Anesthesia Machine
Ventilator
Dialysis Machine
Infusion Pump
MRI Scanner
Ventilator
Dialysis Machine
Infusion Pump
Patient Monitor
Infusion Pump
Infusion Pump_1
Patient Monitor
CT Scanner
ECG Monitor
ECG Monitor_1
MRI Scanner
Ultrasound
X-Ray Machine
Defibrillator
Dialysis Machine
ECG Monitor
CT Scanner
Defibrillator
ECG Monitor
Ventilator
Anesthesia Machine
Defibrillator
Dialysis Machine
Anesthesia Machine
Dialysis Machine
Surgical Light
Anesthesia Machine
Surgical Light
Anesthesia Machine
Infusion Pump
Infusion Pump_1
Infusion Pump_2
Anesthesia Machine
Ultrasound
Dialysis Machine
Surgical Light
Ultrasound
X-Ray Machine
Ultrasound
Defibrillator
Infusion Pump
ECG Monitor
Infusion Pump
Ventilator
Defibrillator
Surgical Light
Surgical Light
Ventilator
X-Ray Machine
MRI Scanner
ECG Monitor
Infusion Pump
Dialysis Machine
Ultrasound
Anesthesia Machine
Patient Monitor
Defibrillator
Infusion Pump
MRI Scanner
Ventilator
Anesthesia Machine
Infusion Pump
MRI Scanner
Infusion Pump
Ventilator
Dialysis Machine
X-Ray Machine
Dialysis Machine
Surgical Light
Patient Monitor
Ventilator
Patient Monitor
CT Scanner
Dialysis Machine
Patient Monitor
CT Scanner
MRI Scanner
Surgical Light
X-Ray Machine
CT Scanner
Dialysis Machine
Patient Monitor
CT Scanner
